,Article Title,Abstract,Topics
10,MAJOR CANAL RECONSTRUCTION IN PEAT AREAS,"The Irish canal system traverses extensive peatland in the midlands. While originally intended for commercial traffic the canal and waterways system is now considered for its amenity value, and considerable investment is being incurred in maintaining and upgrading the system. Significant experience has been gained in understanding the properties and behaviour of peat and in the reconstruction of canals. The Paper sets out some characteristics of peat in Irish midland bogs including its density and moisture content, permeability, shear strength, shrinkage, effective stress and consolidation behaviour. The experience of the Irish Office of Public Works in canal reconstruction is outlined. Particular emphasis is placed on the work involved in reconstructing the Grand Canal, which links Dublin westward to the River Shannon, following a major breach in the midlands in 1989. The analysis of the failure in the section of embanked canal peat bog and the design solution are resented. The repair techniques, involving the reconstruction of about 200 000 m3 embankment and its consolidation and waterproofing, are detailed.","Environmental, social and economic rigour"
11,Spatially distributed potential evapotranspiration modeling and climate projections,"Evapotranspiration integrates energy and mass transfer between the Earth's surface and atmosphere and is the most active mechanism linking the atmosphere, hydrosphsophere, lithosphere and biosphere. This study focuses on the fine resolution modeling and projection of spatially distributed potential evapotranspiration on the large catchment scale as response to climate change. Six potential evapotranspiration designed algorithms, systematically selected based on a structured criteria and data availability, have been applied and then validated to long-term mean monthly data for the Shannon River catchment with a 50 m(2) cell size. The best validated algorithm was therefore applied to evaluate the possible effect of future climate change on potential evapotranspiration rates. Spatially distributed potential evapotranspiration projections have been modeled based on climate change projections from multi-GCM ensembles for three future time intervals (2020, 2050 and 2080) using a range of different Representative Concentration Pathways producing four scenarios for each time interval. Finally, seasonal results have been compared to baseline results to evaluate the impact of climate change on the potential evapotranspiration and there for on the catchment dynamical water balance. The results present evidence that the modeled climate change scenarios would have a significant impact on the future potential evapotranspiration rates. All the simulated scenarios predicted an increase in potential evapotranspiration for each modeled future time interval, which would significantly affect the dynamical catchment water balance. This study addresses the gap in the literature of using GIS-based algorithms to model fine-scale spatially distributed potential evapotranspiration on the large catchment systems based on climatological observations and simulations in different climatological zones. Providing fine-scale potential evapotranspiration data is very crucial to assess the dynamical catchment water balance to setup management scenarios for the water abstractions. This study illustrates a transferable systematic method to design GIS-based algorithms to simulate spatially distributed potential evapotranspiration on the large catchment systems. (C) 2018 Elsevier B.V. All rights reserved.",evapotranspiration and climate change
12,Predation and competition effects on the size diversity of aquatic communities,"Body size has been widely recognised as a key factor determining community structure in ecosystems. We analysed size diversity patterns of phytoplankton, zooplankton and fish assemblages in 13 data sets from freshwater and marine sites with the aim to assess whether there is a general trend in the effect of predation and resource competition on body size distribution across a wide range of aquatic ecosystems. We used size diversity as a measure of the shape of size distribution. Size diversity was computed based on the Shannon-Wiener diversity expression, adapted to a continuous variable, i.e. as body size. Our results show that greater predation pressure was associated with reduced size diversity of prey at all trophic levels. In contrast, competition effects depended on the trophic level considered. At upper trophic levels (zooplankton and fish), size distributions were more diverse when potential resource availability was low, suggesting that competitive interactions for resources promote diversification of aquatic communities by size. This pattern was not found for phytoplankton size distributions where size diversity mostly increased with low zooplankton grazing and increasing nutrient availability. Relationships we found were weak, indicating that predation and competition are not the only determinants of size distribution. Our results suggest that predation pressure leads to accumulation of organisms in the less predated sizes, while resource competition tends to favour a wider size distribution.",Resource competition and predation
13,How many dimensions of biodiversity do we need?,"Biodiversity is a measure of the total difference within a biological system. It is understood to arise at genetic, species and multiple levels of community organisation, hence is multidimensional in nature. Biodiversity indices have proliferated in attempts to capture this complexity but may now have confounded it. Here we attempt a reduction to the minimal set of metrics needed to describe biodiversity (often by default taken to be species richness). 1000 model communities with realistic taxonomic composition were synthesised using databases of marine benthic species. A battery of 19 biodiversity indices were calculated for every community and analysed by PCA to show inter-dependence and sensitivity to variation in taxonomic (a surrogate for genetic), functional (based on ecological roles) and structural (based on species abundance) diversity. We found the three major axes of biodiversity were (a) structural complexity, and (b) two different mixtures of taxonomic and functional diversity: it was well approximated by a three-dimensional space of these variables. A scalar distance from the origin of this space could serve as a single valued summary where needed, for example in economic valuations. The most widely used single biodiversity measure - species richness - missed 88.6% of the diversity, emphasising the importance of additional characters and the need for species databases to record functional traits, presence and abundance in communities, and phylogenetic information. (C) 2012 Elsevier Ltd. All rights reserved.",Conservation and diversification
14,The influence of habitat heterogeneity on bird diversity in Irish farmland,"The intensification and specialisation of agricultural practices have led to a widespread decline of farmland bird diversity across much of Europe. Increasing habitat heterogeneity at Multiple Spatial scales has been suggested as one possible strategy to reverse these declines. This study examined the relationship between habitat heterogeneity, as ineasured by a nurnbcr ofindices, and bird diversity at farm scale using study sites in the east and south-east of Ireland. Generalised Linear Models indicated that there was a positive relationship between the documented heterogeneity of farmland habitats and the numbers of bird species observed during standardised farm surveys. However, this relationship was not evident when bird diversity was quantified using both the Shannon and the Simpson's diversity indices. It is concluded that agri-environmental policy that aims to influence the heterogeneity of habitats at the farm level can provide a useful means to maintain farmland biodiversity. Future research should aim to develop in improved system of habitat classification and a deeper understanding of the ecological value of different habitat types in Irish farmland.",The main themes in this article are:
15,Comparison of benthic macroinvertebrate indices for the assessment of the impact of acid mine drainage on an Irish river below an abandoned Cu-S mine,"A range of macroinvertebrate indices were compared to assess the most appropriate metric for the assessment of acid mine drainage (AMD) in a low alkalinity, highly erosional river in south-east Ireland. Differences were found in the ability of indices to discriminate AMD impact with the Brillouin, BMWP score, Margalef and Shannon Indices the most precise. Taxon richness was also strongly correlated with AMD indicator parameters (e.g. pH alkalinity, sulphate, Zn and Fe) at impacted sites being an equally reliable metric. The response of the community structure to AMD in this river does not fulfil the optimum criteria for either diversity or biological indices, which may explain the variation in the success of different indices seen in this and other studies. The development of indices that model the expected community response to AMD more accurately or are based on the response of indicator species to AMD pollutants are required. (C) 2007 Elsevier Ltd. All rights reserved.",Diversity and biodiversity
16,"Historic land reclamation in the intertidal wetlands of the Shannon estuary, western Ireland","There is abundant landscape evidence for extensive land reclamation conducted within the Shannon estuary wetlands. To date, little published research is available which identifies how much reclamation, has occurred,, its timing and the likely environmental implications. This paper addresses these questions on the basis of available cartographic and documentary data on land reclamation in this area. Identification of reclaimed land was based on the 2nd Edition Ordnance Survey of Ireland Map Series of 1924. These maps represent landscape features relating to reclamation, such as embankments, artificial arterial drainage channels and sluices. Using such indicators for the purpose of demarcation, the extent of the lands reclaimed has been mapped. Documentary information on reclamation schemes was acquired from the National Archives files on the Irish Quit Rent Office, including letters, memoranda, draft bills and Government Acts, legal documents and statements of account, and these support and supplement cartographic data. In total, approximately 6,500ha of the Shannon estuary lowlands were reclaimed for agriculture and other purposes. This has significantly altered the morphometric characteristics of the estuary, as embankments and revetments for flood protection have reduced the potential energy dissipation area and the water storage capacity of the estuarine wetlands. Reclamation has resulted in modification of the estuarine physical environment and its hydrodynamics, and altered the character of the wetland habitat in the estuary environs.",Reclamation and reclamation
17,Consequences of hydraulic dredging for a razor clam Ensis siliqua (L.) bed in the north-west Irish sea,"The Gormanstown razor clam bed, which measured 21km(2) in extent in 1998, provided more than half the razor clams harvested in Europe for three years, 1999-2001. Exploitation of the bed commenced in late 1997. As a result of hydraulic dredging, the sediments have higher sorting coefficients and some larger grades were added in the form of shell fragments in the intervening years. The macrobenthos of the bed was monitored over a period of seven years, beginning one year after exploitation commenced. Throughout that time the dominant species, Ensis siliqua, which had accounted for up to 90% of the biomass in the first year of the study, declined to approximately 50% in 2005. Ensis siliqua displays the characteristics of a K-selected species: heavy standing biomass, type one survivorship curve and slow replication. Coinciding with exploitation, the bed was invaded by other deposit and suspension-feeding bivalves, notably Pharus legumen and Lutraria lutraria whose population expansion can be traced to the early dredge fishery. The ratio of Ensis to Lutraria sampled weights was 124:1 in 1998, but it steadily advanced to 1.2:1 in 2005. Thus Lutraria, another suspension feeder, has displaced the razor clam. The Shannon-Wiener index of diversity rose as exploitation of the bed progressed, and in 2005 (eight years after dredging commenced), it had not returned to its 1998 level. However, the trend over the period was downwards, suggesting that a new stability involving a different species composition may be achieved. An age length key applied to length-frequency distributions of E. siliqua indicated that no age class older than age eleven has accounted for 10% of the population since 2001, although that was usually the case in the four preceding years.",Diversity and diversification of the species.
18,Hydroperiod and Traditional Farming Practices Drive Plant Community Composition on Unregulated Atlantic Floodplain Meadows,"The River Shannon, Ireland, among the last unregulated rivers in western Europe, has extensive floodplains and supports rare and endangered species and habitats, of ecological and cultural importance. Unregulated floodplains result in community composition responding directly to natural fluctuations in water level. This study assesses how hydrological factors and farming practices effect flood meadow plant communities. Three main plant communities were identified, forming an uninterrupted ecotone, along a gradient of dry to wet. Habitats of European conservation interest (Lowland Hay Meadows and Molinia Meadows) were well represented. Hydroperiod, calculated using microtopographical measurements, was the primary factor determining community composition and was negatively correlated with elevation and plant species richness. The botanical continuum comprised a range of insect-pollinated species, demonstrating the role of floodplains in providing pollinator services. Climate change projections indicate more prolonged winter flooding in the future, signifying potential range shifts for these plant species and communities; highlighting the need for appropriate conservation measures in the surrounding landscape. Low-intensity farming practices, with minimal fertiliser use and regular hay-mowing, played an essential, secondary role in maintaining plant species diversity. Retaining the floodplain topography, its associated hydrological regime and low-intensity farming practices, are necessary to maintain species diversity and ecosystem services.",Conservation and adaptation
19,Cruise visitor impressions of the environment of the Shannon-Erne waterways system,"This paper examines visitor reactions to a varied inland water environment and the management implications that result. It is based on a survey of cruising on the interlinked systems of Lough Erne, the Shannon-Erne Waterway and the River Shannon in north-west Ireland. Knowledge of visitors' demands and reactions to water bodies and bankside features is considered vital to the successful management of waterways, particularly in the context of developing a sustainable tourism product that demands the preservation of the integrity of the environment. The study is opportune in that the 1994 reopening of the Shannon-Erne Waterway allows the implementation of safeguards at an early stage of development when scope for influencing the future is greater. The results are useful in providing an insight into what visitors value, so that these can be considered while simultaneously providing for expansion in an economically deprived region. An incomplete understanding of the environmental system is evident in the common assumption that no conflicts exist. Specific considerations for management include the need to preserve the core features of an unspoiled and tranquil rural landscape through careful siting of additional mooring sites and other infrastructural support, and zonation and other restrictions on more intrusive water-sports. Some false perceptions of environmental conditions need countering through provision of information, and a code of practice is required to minimize depletions of fish stocks that provide an important ancillary recreational activity. Present pressures on the natural environment are not great, but may grow following initial good publicity, although much is dependent upon political events in Northern Ireland. (C) 1997 Academic Press Limited.",Conservation and economic development
20,Small rain events during drought alter sediment dissolved organic carbon leaching and respiration in intermittent stream sediments,"With climate change, streams and rivers are at increased risk of droughts and flow intermittency. The full implications of these conditions for fluvial carbon (C) processing and stream-atmosphere CO2 emissions are not well understood. We performed a controlled drought experiment in outdoor hyporheic flumes. We simulated small rain events that increase sediment moisture content, but do not cause streamflow in order to investigate how these events affect streambed dissolved organic C dynamics, biofilm respiration and enzyme activity, and bacterial community composition. Flumes were subject to a non-flow phase of one month with small rain events with varying frequency (weekly, 3 x weekly, and no rain). Sediment was sampled at the surface and from the hyporheic zone at the end of the non-flow phase. We quantified microbial respiration of the dry sediments and sediment DOC leaching after simulated flow resumption. We found that, at the surface, more frequent rain events significantly increased microbial respiration from 12.6 +/- 0.25 mu g CO2 g(-1) DW h(-1) to 26.5 +/- 11.3 mu g CO2 g(-1) DW h(-1) between the control and 3 x weekly rain events. The average amount of DOC leached from surface sediments during flow resumption was reduced by 0.813 +/- 0.62 mg L-1 with more frequent rain events. More frequent rain events also resulted in the leaching of fresher DOM with increased tryptophan fluorescence and a higher BIX. This, along with higher glucosidase activity in the biofilms, indicates higher OC processing during the drought period with more frequent rain events. Small rain events also enhanced Shannon diversity of microbial communities, with a stronger presence of 'terrestrial-like' bacterial clades. We propose that rain events during drought, even those of small size, are highly relevant for fluvial organic C processing during the dry phase. Future research should explicitly consider small rain events when investigating C fluxes in intermittent streams to fully understand the C processing in these systems with climate change. We conclude that small rain events impact DOM dynamics during reflow and likely impact the cascading C processing in the downstream river network.","Water, temperature, and bacterial community composition"
21,"ENVIRONMENTAL AND VEGETATIONAL RELATIONSHIPS OF LAKES, FENS AND TURLOUGHS IN THE BURREN","The limestone country of the eastern Burren includes permanent lakes, extensive fens, and turloughs-depressions characterised by large fluctuations in water levels that become dry in summer and have distinctive vegetation. Most of the larger lakes lie on an almost level surface, draining southwards via the River Fergus into the Shannon estuary; Lough Bunny drains through the limestone north towards Galway Bay. Field evidence indicates that the lakes and fens, whether they flood in winter or not, have a relatively constant summer water level, probably because the underlying limestone is sealed by glacial drift. Their vegetation follows a normal hydrosere succession from open-water deposits (mostly calcareous marl) to reed swamp and Schoenus fen, culminating locally in raised bog. Present-day exposed expanses of marl are products of erosion of a former peat cover. Turloughs are characterised by unconstrained fluctuations of the water level through most or all of its vertical range. They occur where there is no barrier at the surface to drainage into the limestone, but there is sufficient hydraulic resistance to underground flow to allow water levels to rise during winter and after heavy rain. The vegetation of typical turloughs has more in common with dune slack or flood meadow communities than with true fens.",Changing water levels
22,Drivers of temporal changes in temperate forest plant diversity vary across spatial scales,"Global biodiversity is affected by numerous environmental drivers. Yet, the extent to which global environmental changes contribute to changes in local diversity is poorly understood. We investigated biodiversity changes in a meta-analysis of 39 resurvey studies in European temperate forests (3988 vegetation records in total, 17-75years between the two surveys) by assessing the importance of (i) coarse-resolution (i.e., among sites) vs. fine-resolution (i.e., within sites) environmental differences and (ii) changing environmental conditions between surveys. Our results clarify the mechanisms underlying the direction and magnitude of local-scale biodiversity changes. While not detecting any net local diversity loss, we observed considerable among-site variation, partly explained by temporal changes in light availability (a local driver) and density of large herbivores (a regional driver). Furthermore, strong evidence was found that presurvey levels of nitrogen deposition determined subsequent diversity changes. We conclude that models forecasting future biodiversity changes should consider coarse-resolution environmental changes, account for differences in baseline environmental conditions and for local changes in fine-resolution environmental conditions.",Global environmental changes and changing environmental conditions
23,Thermal effluents from power plants boost performance of the invasive clam Corbicula fluminea in Ireland's largest river,"Elevated temperatures due to anthropogenic activities can improve the performance of non-native species that are adapted to higher temperatures than resident species. Ecosystems may experience higher temperature due to global stressors, such as climate change, or local stressors, including thermal effluents and urban heat islands. Using field surveys of population density and body size of the highly invasive and hot-adapted clam Corbicula fluminea in and out of two thermal effluents from power plants along the River Shannon, Ireland, we tested the hypothesis that C. fluminea performs better in thermal plumes. Shell length and body mass of C. fluminea in thermal effluents were 1.8 and 4.4 times higher, respectively, compared with adjacent unheated river sections. Density of C. fluminea was 13.7 times higher in heated, compared with unheated river reaches, leading to an increase in combined biomass per unit area of >50-fold. Our temperature data suggest an up to 2.5-fold increase of degree-days for growth and up to 5.2-fold increase of degree-days for larval incubation in the thermal plumes in River Shannon, compared with unheated conditions. Through enlarged body size, the elevated temperatures likely increase fecundity within the plumes.These findings illustrate that, in temperate climates, thermal plumes can form sanctuaries, where C. fluminea likely alters habitat, outpaces competitors and potentially dominates the energy flow through food webs. Furthermore, thermal plumes can act as stepping-stones and propagule banks for further proliferation of C. fluminea and other warm-adapted invaders. (C) 2019 Elsevier B.V. All rights reserved.",Conservation and adaptation
24,Controls on the contemporary distribution of lake thecamoebians (testate amoebae) within the Greater Toronto Area and their potential as water quality indicators,"Thecamoebians were examined from 71 surface sediment samples collected from 21 lakes and ponds in the Greater Toronto Area to (1) elucidate the controls on faunal distribution in modern lake environments; and (2) to consider the utility of thecamoebians in quantitative studies of water quality change. This area was chosen because it includes a high density of kettle and other lakes which are threatened by urban development and where water quality has deteriorated locally as a result of contaminant inputs, particularly nutrients. Fifty-eight samples yielded statistically significant thecamoebian populations. The most diverse faunas (highest Shannon Diversity Index values) were recorded in lakes beyond the limits of urban development, although the faunas of all lakes showed signs of sub-optimal conditions. The assemblages were divided into five clusters using Q-mode cluster analysis, supported by Detrended Correspondence Analysis. Canonical Correspondence Analysis (CCA) was used to examine species-environment relationships and to explain the observed clusterings. Twenty-four measured environmental variables were considered, including water property attributes (e.g., pH, conductivity, dissolved oxygen), substrate characteristics, sediment-based phosphorus (Olsen P) and 11 environmentally available metals. The thecamoebian assemblages showed a strong association with phosphorus, reflecting the eutrophic status of many of the lakes, and locally to elevated conductivity measurements, which appear to reflect road salt inputs associated with winter de-icing operations. Substrate characteristics, total organic carbon and metal contaminants (particularly Cu and Mg) also influenced the faunas of some samples. A series of partial CCAs show that of the measured variables, sedimentary phosphorus has the largest influence on assemblage distribution, explaining 6.98% (P < 0.002) of the total variance. A transfer function was developed for sedimentary phosphorus (Olsen P) using 58 samples from 15 of the studied lakes. The best performing model was based on weighted averaging with inverse deshrinking (WA Inv, r (jack) (2) = 0.33, RMSEP = 102.65 ppm). This model was applied to a small modern thecamoebian dataset from a eutrophic lake in northern Ontario to predict phosphorus and performed satisfactorily. This preliminary study confirms that thecamoebians have considerable potential as quantitative water quality indicators in urbanising regions, particularly in areas influenced by nutrient inputs and road salts.",Biological diversity and land use
25,Phenology and species diversity in a Lake Huron ichthyoplankton community: Ecological implications of invasive species dominance,"Ichthyoplankton communities are dynamic and vary spatiotemporally based on factors such as wind, water currents, and phenology. Nonetheless, ichthyoplankton are an indicator of spawning success in fish populations and examining their community diversity and composition can serve to provide information on ecosystem integrity. Although some ichthyoplankton species may be transient, understanding their distribution in space and time provides information on species composition, abundance, and habitat use during critical early life stages. We sampled the spring-summer ichthyoplankton community during 2008 and 2009 in northern Lake Huron to determine species succession, abundance, and species diversity along physical and environmental gradients. Seasonal succession of species was similar during both years, indicating well-defined patterns in spawning by northern Lake Huron fish populations. Invasive alewife, rainbow smelt, and round goby were the dominant species during both years, with native stickleback species also abundant. Shannon Entropy (H') increased with increasing water temperature until late summer when H' declined. H' decreased with increasing bottom depth and distance to tributary mouth indicating the important ecological role of these habitat features during early life stages. Although ichthyoplankton diversity was comparable to or higher than that reported for other areas of the Great Lakes, the prominence of invasive species in our study is reflective of the disturbed state of the lake Huron fish community, despite large reductions in invasive planktivorous fish since 2004. Continued monitoring of ichthyoplankton communities will be important for measuring the impacts of species invasions or other ecosystem stressors on fish community structure in the Great Lakes. Published by Elsevier B.V. on behalf of International Association for Great Lakes Research.",Diversity and diversity
